unit_id,total_cycles,RUL,setting1,setting2,setting3,condition_id
0.0,0.002,0.0,100.0,518.67,642.88,394
0.0001,0.002,0.0,100.0,518.67,642.18,381
0.0002,0.002,0.0,100.0,518.67,642.57,386
0.0003,0.002,0.0,100.0,518.67,642.95,396
0.0004,0.002,0.0,100.0,518.67,643.26,404
0.0005,0.002,0.0,100.0,518.67,642.48,385
0.0006,0.002,0.0,100.0,518.67,642.99,398
0.0007,0.002,0.0,100.0,518.67,642.48,385
0.0008,0.002,0.0,100.0,518.67,643.12,401
0.0009,0.002,0.0,100.0,518.67,642.48,385
0.001,0.002,0.0,100.0,518.67,642.59,387
0.0011,0.002,0.0,100.0,518.67,642.37,384
0.0012,0.002,0.0,100.0,518.67,642.24,382
0.0013,0.002,0.0,100.0,518.67,642.6,388
0.0014,0.002,0.0,100.0,518.67,643.65,405
0.0015,0.002,0.0,100.0,518.67,642.7,392
0.0016,0.002,0.0,100.0,518.67,642.62,390
0.0017,0.002,0.0,100.0,518.67,643.02,399
0.0018,0.002,0.0,100.0,518.67,642.91,395
0.0019,0.002,0.0,100.0,518.67,642.97,397
0.002,0.002,0.0,100.0,518.67,642.82,393
0.0021,0.002,0.0,100.0,518.67,642.31,383
0.0022,0.002,0.0,100.0,518.67,643.04,400
0.0023,0.002,0.0,100.0,518.67,642.67,391
0.0024,0.002,0.0,100.0,518.67,643.73,406
0.0025,0.002,0.0,100.0,518.67,643.26,404
0.0026,0.002,0.0,100.0,518.67,642.61,389
0.0027,0.002,0.0,100.0,518.67,643.26,404
0.0028,0.002,0.0,100.0,518.67,643.13,402
0.0029,0.002,0.0,100.0,518.67,643.24,403
0.003,0.002,0.0,100.0,518.67,642.31,383
9.998,0.2518,0.0,100.0,489.05,604.57,249
9.9981,0.2519,0.0,100.0,489.05,604.09,230
9.9982,0.2519,0.0,100.0,489.05,605.04,277
9.9983,0.252,0.0,100.0,489.05,604.82,263
9.9984,0.252,0.0,100.0,489.05,604.55,247
9.9985,0.2519,0.0,100.0,489.05,605.16,282
9.9986,0.252,0.0,100.0,489.05,605.24,286
9.9987,0.2519,0.0,100.0,489.05,605.28,288
9.9988,0.252,0.0,100.0,489.05,604.04,229
9.9989,0.252,0.0,100.0,489.05,604.41,240
9.999,0.252,0.0,100.0,489.05,605.03,276
9.9991,0.2519,0.0,100.0,489.05,605.01,274
9.9992,0.252,0.0,100.0,489.05,604.66,256
9.9993,0.252,0.0,100.0,489.05,604.93,269
9.9994,0.252,0.0,100.0,489.05,604.59,250
9.9995,0.2519,0.0,100.0,489.05,605.25,287
9.9996,0.2519,0.0,100.0,489.05,604.63,253
9.9997,0.252,0.0,100.0,489.05,604.64,254
9.9998,0.252,0.0,100.0,489.05,604.24,231
9.9999,0.252,0.0,100.0,489.05,604.26,232
10.0,0.2518,0.0,100.0,489.05,605.39,293
10.0001,0.252,0.0,100.0,489.05,605.5,294
10.0002,0.252,0.0,100.0,489.05,604.63,253
10.0003,0.252,0.0,100.0,489.05,604.62,252
10.0004,0.252,0.0,100.0,489.05,605.59,296
10.0005,0.2519,0.0,100.0,489.05,604.7,258
10.0006,0.2519,0.0,100.0,489.05,605.94,305
10.0007,0.2518,0.0,100.0,489.05,604.34,237
10.0008,0.252,0.0,100.0,489.05,604.7,258
10.0009,0.252,0.0,100.0,489.05,604.4,239
10.001,0.2518,0.0,100.0,489.05,605.79,302
10.0011,0.252,0.0,100.0,489.05,604.32,235
10.0012,0.252,0.0,100.0,489.05,604.39,238
10.0013,0.252,0.0,100.0,489.05,604.68,257
10.0014,0.252,0.0,100.0,489.05,604.46,243
10.0015,0.252,0.0,100.0,489.05,605.01,274
10.0016,0.2519,0.0,100.0,489.05,605.39,293
10.0017,0.2519,0.0,100.0,489.05,604.02,228
10.0018,0.2519,0.0,100.0,489.05,604.74,260
10.0019,0.252,0.0,100.0,489.05,604.72,259
10.002,0.252,0.0,100.0,489.05,605.32,291
10.0021,0.2519,0.0,100.0,489.05,605.6,297
10.0022,0.252,0.0,100.0,489.05,604.56,248
10.0023,0.252,0.0,100.0,489.05,604.42,241
10.0024,0.252,0.0,100.0,489.05,605.81,303
10.0025,0.2519,0.0,100.0,489.05,604.93,269
10.0026,0.252,0.0,100.0,489.05,604.83,264
10.0027,0.2519,0.0,100.0,489.05,604.0,227
10.0028,0.2519,0.0,100.0,489.05,605.54,295
10.0029,0.252,0.0,100.0,489.05,604.4,239
10.003,0.2516,0.0,100.0,489.05,604.5,245
10.0031,0.252,0.0,100.0,489.05,604.92,268
10.0032,0.252,0.0,100.0,489.05,604.81,262
10.0033,0.252,0.0,100.0,489.05,605.63,298
10.0034,0.252,0.0,100.0,489.05,604.65,255
10.0035,0.252,0.0,100.0,489.05,605.66,299
10.0036,0.252,0.0,100.0,489.05,604.61,251
10.0037,0.252,0.0,100.0,489.05,605.0,273
10.0038,0.252,0.0,100.0,489.05,604.57,249
10.0039,0.252,0.0,100.0,489.05,604.27,233
10.004,0.2519,0.0,100.0,489.05,604.78,261
10.0041,0.2519,0.0,100.0,489.05,604.84,265
10.0042,0.252,0.0,100.0,489.05,604.59,250
10.0043,0.2519,0.0,100.0,489.05,606.31,306
10.0044,0.2519,0.0,100.0,489.05,604.91,267
10.0045,0.252,0.0,100.0,489.05,605.16,282
10.0046,0.2519,0.0,100.0,489.05,605.04,277
10.0047,0.252,0.0,100.0,489.05,604.86,266
10.0048,0.252,0.0,100.0,489.05,605.08,279
10.0049,0.2519,0.0,100.0,489.05,605.01,274
10.005,0.252,0.0,100.0,489.05,605.13,281
10.0051,0.2519,0.0,100.0,489.05,604.97,271
