,mean,std,min,max,range,cv
sensor_1,1417.896600271025,106.16759773766968,1242.67,1613.0,370.3299999999999,0.07487682650298773
sensor_2,1201.9153592711716,119.32759068781478,1024.42,1440.77,416.3499999999999,0.09928119294537822
sensor_3,8.031625822462406,3.622872117376346,3.91,14.62,10.709999999999999,0.45107580923953133
sensor_4,11.589457133994022,5.444016543155824,5.67,21.61,15.94,0.46973870132255946
sensor_5,283.32863312054076,146.88020952321904,136.17,570.81,434.64,0.5184093393791569
sensor_6,2228.6860337311628,145.34824288738034,1914.72,2388.64,473.91999999999985,0.06521701158778523
sensor_7,8524.673301278388,336.9275465434419,7984.51,9196.81,1212.2999999999993,0.03952380749804396
sensor_8,1.0964450031837254,0.12768052859258314,0.93,1.32,0.39,0.11644955125139861
sensor_9,42.874529216803545,3.24349153498898,36.04,48.36,12.32,0.07565077901118454
sensor_10,266.7356650720828,138.4791091630693,128.31,537.49,409.18,0.5191623292132554
sensor_11,2334.4275896749336,128.19785924922147,2027.57,2390.49,362.91999999999985,0.05491618579913754
sensor_12,8067.811812111218,85.67054344902142,7845.78,8261.65,415.8699999999999,0.010618807855732916
sensor_13,9.285603595160737,0.7503736864794557,8.1757,11.0663,2.890599999999999,0.08081043723108304
sensor_14,0.02325246126467371,0.0046847056133810985,0.02,0.03,0.009999999999999998,0.20147138662255662
sensor_15,347.760028735163,27.808283453502003,302.0,399.0,97.0,0.0799640014829865
sensor_16,2228.613283482179,145.47249119146952,1915.0,2388.0,473.0,0.06527489191133719
sensor_17,97.75139626769416,5.369423638908292,84.93,100.0,15.069999999999993,0.05492938048888854
sensor_18,20.864333458505442,9.936396142937777,10.16,39.89,29.73,0.4762383693061213
sensor_19,12.51899549380398,5.962697250948247,6.0843,23.8852,17.800900000000002,0.4762919879553725
